"File","Title","DescLen","Canonical","H1","HashHref","TargetBlank","InternalBlank","KeywordsMeta","OGT","OGD","LocalSchema","OrgSchema","FAQSchema","ServiceSchema","BreadcrumbSchema","StrangeHead"
"about.html","Tentang Kami - Radar Kediri Institute (RK Institute)","113","https://rkinstitute.id/about.html","1","5","6","0","True","True","True","False","True","False","False","False","False"
"artikel-lama.html","Akselerasi Karier Digital: RK Institute dan GM Academy Cetak 30 Talenta Kreatif Unggulan di Kediri","207","https://rkinstitute.id/artikel-lama.html","1","5","9","3","True","True","True","False","True","False","False","False","False"
"blog.html","Blog dan Wawasan Artikel - RK Institute","130","https://rkinstitute.id/blog.html","1","19","23","17","True","True","True","False","True","False","False","False","False"
"event-outbound-mtsn-2-kota-kediri.html","Cara Game Outbound SJT Membentuk Karakter Strategis Siswa MTsN 2 Kediri","197","https://rkinstitute.id/event-outbound-mtsn-2-kota-kediri","1","5","9","3","True","True","True","False","True","True","False","False","False"
"event-wisuda-sekolah-kampus.html","Event Wisuda Sekolah & Kampus Profesional | Radar Kediri Institute","199","https://rkinstitute.id/event-wisuda-sekolah-kampus.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"event.html","Event - Radar Kediri Institute","80","https://rkinstitute.id/event.html","1","1","24","18","True","True","True","False","True","False","False","False","True"
"galeri.html","Galeri Kegiatan - Portofolio Visual RK Institute","118","https://rkinstitute.id/galeri.html","1","2","6","0","True","True","True","False","True","False","False","False","False"
"gebyar-dies-natalis-milad-sekolah.html","Gebyar Dies Natalis / Milad Sekolah Profesional | Radar Kediri Institute","235","https://rkinstitute.id/gebyar-dies-natalis-milad-sekolah.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"index.html","Radar Kediri Institute","93","https://rkinstitute.id/","1","24","33","27","True","True","True","True","False","False","False","False","True"
"jasa-press-release-publikasi.html","Jasa Press Release & Publikasi Media | Radar Kediri Institute","244","https://rkinstitute.id/jasa-press-release-publikasi.html","1","1","7","0","True","True","True","False","True","True","True","False","True"
"journalist-kids-experience.html","Journalist Kids Experience untuk PAUD, TK & SD/MI | Radar Kediri Institute","219","https://rkinstitute.id/journalist-kids-experience.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"kelas-inspirasi-character-building.html","Kelas Inspirasi & Character Building untuk Sekolah dan Kampus | Radar Kediri Institute","209","https://rkinstitute.id/kelas-inspirasi-character-building.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"kka.html","Kompetisi Kompetensi Akademik (KKA) untuk Sekolah & Madrasah | Radar Kediri Institute","199","https://rkinstitute.id/kka.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"kolaborasi-smkn-1-kras-radar-kediri-digital-marketing.html","Kolaborasi SMKN 1 Kras dan Radar Kediri: Puluhan Lulusan Vokasi Kuasai Pasar Digital","183","https://rkinstitute.id/kolaborasi-smkn-1-kras-radar-kediri-digital-marketing.html","1","1","12","2","True","True","True","False","True","True","False","True","False"
"layanan-desain-grafis-konten-kreator.html","Pelatihan Desain Grafis | Radar Kediri Institute","160","https://rkinstitute.id/pelatihan-desain-grafis.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"layanan-event-organizer.html","Event Organizer Profesional Kediri | Radar Kediri Institute","206","https://rkinstitute.id/layanan-event-organizer.html","1","1","7","0","True","True","True","False","True","True","True","False","True"
"layanan-pelatihan-coding-ai.html","Pelatihan Coding & AI untuk Pelajar | Radar Kediri Institute","224","https://rkinstitute.id/layanan-pelatihan-coding-ai.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"layanan-pelatihan-digital-marketing.html","Pelatihan Digital Marketing | Radar Kediri Institute","258","https://rkinstitute.id/layanan-pelatihan-digital-marketing.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"ldks-camp.html","LDKS Camp & Leadership Training | Radar Kediri Institute","159","https://rkinstitute.id/ldks-camp.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"outbound-team-building.html","Program Outbound & Team Building | Radar Kediri Institute","208","https://rkinstitute.id/outbound-team-building.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"parenting-program.html","Parenting Program & Character Building | Radar Kediri Institute","170","https://rkinstitute.id/parenting-program.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"pelatihan-desain-grafis.html","Pelatihan Desain Grafis | Radar Kediri Institute","160","https://rkinstitute.id/pelatihan-desain-grafis.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"pelatihan-desain-website-media-sekolah-smk-al-huda-kediri.html","Cara SMK Al Huda Kota Kediri Persiapkan Siswa Kuasai Dunia Digital","241","https://rkinstitute.id/pelatihan-desain-website-media-sekolah-smk-al-huda-kediri","1","5","9","3","True","True","True","False","True","True","False","False","False"
"pelatihan-digital-marketing-guru-honorer-kediri.html","Pelatihan Digital Marketing Disdik Kediri: Solusi Cerdas Tingkatkan Kesejahteraan Guru Honorer","212","https://rkinstitute.id/pelatihan-digital-marketing-guru-honorer-kediri.html","1","1","12","2","True","True","True","False","True","True","False","True","False"
"pelatihan-digital-marketing-kediri-fotografi-produk.html","Pelatihan Digital Marketing Guru Honorer Kediri: Foto Produk Bisa Gandakan Penjualan","195","https://rkinstitute.id/pelatihan-digital-marketing-kediri-fotografi-produk","1","5","9","3","True","True","True","False","True","True","False","False","False"
"pelatihan-digital-marketing.html","Pelatihan Digital Marketing untuk Sekolah, SMK & Perusahaan | Radar Kediri Institute","172","https://rkinstitute.id/pelatihan-digital-marketing.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"pelatihan-fotografi-jurnalistik.html","Pelatihan Fotografi Jurnalistik | Radar Kediri Institute","173","https://rkinstitute.id/pelatihan-fotografi-jurnalistik.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"pelatihan-jurnalistik-investigasi.html","Pelatihan Jurnalistik Investigasi | Radar Kediri Institute","232","https://rkinstitute.id/layanan-pelatihan-jurnalistik-investigasi.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"pelatihan-jurnalistik-public-speaking-mahasiswa-keperawatan-kediri.html","Dari Ruang Kuliah ke Ruang Redaksi: Mahasiswa Keperawatan Kediri Belajar Bicara & Menulis","226","https://rkinstitute.id/pelatihan-jurnalistik-public-speaking-mahasiswa-keperawatan-kediri","1","5","7","1","True","True","True","False","True","True","False","False","False"
"pelatihan-jurnalistik-public-speaking-siswa-man-3-kediri.html","Membangun Karakter Kritis & Percaya Diri: Suksesnya Pelatihan Jurnalistik dan Public Speaking di MAN 3 Kediri","218","https://rkinstitute.id/pelatihan-jurnalistik-public-speaking-siswa-man-3-kediri.html","1","1","8","2","True","True","True","False","True","True","False","True","False"
"pelatihan-literasi-digital.html","Pelatihan Literasi Digital & Keamanan Informasi | Radar Kediri Institute","152","https://rkinstitute.id/pelatihan-literasi-digital.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"pelatihan-mc-dan-moderator.html","Pelatihan MC & Moderator Profesional | Radar Kediri Institute","177","https://rkinstitute.id/pelatihan-mc-dan-moderator.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"pelatihan-public-speaking.html","Pelatihan Public Speaking & Motivasi | Radar Kediri Institute","238","https://rkinstitute.id/pelatihan-public-speaking.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
"pelatihan-videografi-jurnalistik.html","Pelatihan Videografi Jurnalistik | Radar Kediri Institute","164","https://rkinstitute.id/pelatihan-videografi-jurnalistik.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
